Q01196,Q09472,Q99081
Q6P2Q9,Q14999,Q14126
O75376,P42858,Q92793
P46531,Q9UM47,P49841
Q15139,P04637,P08069
O00267,P02751,Q16643
P00519,P21333,P21860
P27986,Q06124,P49841
O00267,Q8WXH0,Q14999
Q8IY17,Q96CS3,Q9H2V7
Q6P2Q9,Q15393,Q01130
Q7Z6Z7,P00533,Q9Y285
Q14839,O60341,Q12873
Q6P2Q9,P21333,Q92614
P11308,Q15910,O00571
O75376,Q09472,Q96JN8
P26358,Q02447,P06400
Q03164,P04637,P04150
P04637,P01106,Q6Y7W6
Q09472,Q05655,Q92793
Q8TEX9,Q7Z6Z7,P01106
P01009,P02751,O75173
Q7L5N1,P60484,Q93009
Q15650,Q9H211,Q09472
P00519,P00533,O60674
P26358,Q14839,Q15910
Q12778,Q92569,P06400
Q9UM47,P00519,P22681
O75376,O60907,Q9BZK7
Q09472,P04637,P42771
P00519,P98161,O60674
Q6P2Q9,Q92614,Q14126
P27708,O00571,Q01484
P49327,Q7Z6Z7,P27361
P53621,Q92616,P00533
P53675,P27708,Q01484
Q13315,Q9UPS6,O15047
Q6P2Q9,Q6P1N0,Q14204
Q7Z6Z7,P01106,P11717
P35555,P02751,P11717
Q8WZ42,Q16630,P02751
O75376,Q8TAQ2,Q9BZK7
P42226,Q05513,P23458
Q5BKZ1,Q14999,Q9UKV3
Q9NZM1,Q9H2V7,Q9Y5V3
Q6P2Q9,P21333,Q14204
P27361,Q06124,P06239
Q15139,P00533,P08069
Q2KHM9,O15078,Q8TCU4
Q93074,Q969H0,P60484
P49841,Q969H0,Q99062
P22681,P01112,P21860
Q2KHM9,Q8NFD5,Q9UPN4
P04637,Q8NFD5,O60341
Q9NZM1,Q09472,Q9Y5V3
Q09472,P04150,Q92793
P46531,Q6P2Q9,P15923
Q09472,P15923,Q6ZRS2
P46531,Q09472,Q99081
Q03001,Q92614,Q16643
P43243,Q6P2Q9,P02751
Q7Z6Z7,P51148,P11717
P04637,Q7Z6Z7,P27708
Q7L5N1,Q09472,P04150
P04637,Q7Z6Z7,O60341
P05771,O60341,P06400
Q9UM47,P04637,P49841
Q5VST9,P27708,Q01484
Q6P2Q9,Q9C0C9,Q7Z6Z7
Q13315,P04637,Q05655
O95613,Q86YT6,Q9UPN4
P02743,P02462,P02751
Q29RF7,Q15910,P01106
P00533,O14654,P08069
Q9HC78,P21333,Q8IXI1
Q15262,Q9H2V7,Q7Z7M0
P21333,Q7Z6Z7,Q16643
P04637,Q12888,O15047
P21359,Q9Y3M8,Q9ULJ3
P43243,P11308,O00571
Q8WZ42,Q14839,P01106
Q14839,Q9BZK7,O60341
Q14839,Q9BZK7,O60216
Q92616,Q7Z6Z7,P00533
P04637,P21333,P01106
P22681,P06239,Q04759
P21333,Q5VST9,Q01484
Q03164,P04637,Q92793
Q13315,P04637,Q7KZ85
P49327,O00571,Q01484
P21359,Q9Y3M8,Q96QZ7
Q13185,P41229,Q96KQ7
P04637,O60341,P06400
P04637,P00533,Q7Z6Z7
P04637,Q09472,O60341
Q15393,Q93009,Q7Z6Z7
Q8WUI4,Q9NQT8,Q96QZ7
P43243,P00533,P02751
Q15393,Q7Z6Z7,Q15910
P04637,Q12888,P01106
P27986,P00533,P08069
P21675,P01106,P06400
P52701,Q05513,P01112
Q15262,Q9H2V7,P00533
Q8WZ42,P21333,P01106
P21675,P01106,O60216
Q13315,Q7Z6Z7,P00533
P43243,Q6P2Q9,P11308
Q09472,P27986,P06400
Q6P2Q9,P49327,Q7Z6Z7
Q6P2Q9,P04637,Q6Y7W6
O75592,Q7Z6Z7,P01106
P27986,P00533,Q06124
Q09472,Q99081,Q92793
P21333,P02751,Q16643
P60484,P04637,O14654
P01106,P02751,Q92621
P00519,Q09472,Q05655
P46531,Q01196,P15923
Q6P5Z2,Q4V328,Q5VIR6
Q9UPN3,P12757,P02751
Q01196,Q09472,Q92793
Q7Z6Z7,P01106,Q9H2P0
P21333,Q14999,Q14126
Q92614,Q9ULV0,Q16643
Q8WXH0,Q7Z6Z7,P27361
Q96CS3,Q7Z6Z7,Q9Y5V3
P22681,P00533,P21860
Q9NZM1,Q969N2,Q9H2V7
P52333,Q9UM73,O60674
Q8IXI1,Q13045,Q16643
Q6P2Q9,Q92616,Q15424
Q13185,Q15424,Q9UKV3
Q6P2Q9,P26358,P04637
P11362,P27986,P21860
Q13185,Q14839,Q7Z3K3
Q6P1X5,Q8IZX4,P56715
Q6P2Q9,P04637,O14654
Q06945,P04637,Q09472
P26358,P04637,P49841
O75376,P04637,Q09472
P26358,P04637,Q02447
Q6P2Q9,Q7Z6Z7,O14654
Q6P2Q9,P26038,Q7Z6Z7
P52701,Q09472,P01106
Q6P2Q9,P53621,Q92616
Q93009,Q7Z6Z7,Q15910
Q15393,Q7Z6Z7,P01106
P26358,Q01196,P15923
P00519,P04637,P49841
P16871,P27986,O00571
P21359,Q08AD1,Q6Y7W6
P27986,O14654,P08069
Q12778,P04637,Q92793
P42226,P52333,O60674
Q6P2Q9,Q16630,Q14999
P21333,Q9UQQ2,P21860
Q8WZ42,Q92616,Q7Z6Z7
Q96CS3,Q04323,Q9Y5V3
Q6P2Q9,Q7L2E3,P02751
O75376,Q6ZRS2,Q92793
P49796,Q8WZ42,P21333
Q7Z7A1,Q6P1N0,Q9UPN4
Q7Z7G1,P27986,P06400
Q9UHF7,P27361,P42858
O15078,Q2KHM9,Q9UPN4
P16871,O00571,O60216
P46531,Q969H0,P60484
O75376,P04637,Q15424
