P21333,Q9UHB6,O75128
Q9BR77,O15078,O95613
Q15437,P00403,Q8WXE9
Q969H0,P06756,P29353
P00519,Q9H1A4,P01116
P54296,P35609,Q14324
P62258,Q8WXF1,O75533
Q15022,Q86XR8,Q9UMS4
O75376,P42858,Q92793
Q2WGJ6,Q6UY14,Q7Z3S9
Q7Z333,P63279,Q12873
P19320,P60842,P25705
P61978,P04637,O00571
O60812,Q92841,Q13618
Q6P2Q9,Q15233,P01106
P51668,P61077,Q9C029
Q9BXL7,O95999,O15111
O00425,Q15717,O00571
P78386,O43660,Q13618
Q96BK5,P61247,P11940
Q02878,P62249,Q01484
Q8N0Z3,Q15154,Q1MSJ5
Q8NEY1,Q15717,Q14966
Q9ULH0,Q6P2Q9,Q99675
Q6P2Q9,O00571,O15371
O14633,P26371,Q9BYQ4
Q02878,P04637,P01106
Q99996,Q14678,Q7Z4S6
Q8N0Z3,Q5VYK3,Q15154
P08621,Q8WXF1,Q9UMS4
P46821,Q9H0W5,P06748
P38398,O95714,Q9UQE7
Q13625,P04637,Q8N960
P06748,Q09028,P38398
Q00839,Q99613,O60216
Q9BSC4,Q14692,P62277
Q8WXF1,O95678,P52597
P27986,Q07889,P04626
Q9H0W5,P04637,O14654
P08621,Q8WXF1,Q08170
Q6P4F7,P21333,Q9P0K7
P51668,P60484,P04637
P06748,Q14315,P29692
Q15717,P61077,P04637
O60260,Q96GD4,Q4VCS5
Q13616,Q15717,O60260
Q9HC77,Q9H4A3,Q8NDV7
Q6P2Q9,O15111,P78527
Q15047,Q5UIP0,Q9UN74
Q8WXF1,Q9UQ80,P11940
Q6P2Q9,Q9NZC7,Q9Y2W1
Q5SVZ6,Q96L93,Q9BRS2
P62258,P04637,P60953
Q02878,Q9BQG0,P01106
Q6P4F7,Q92614,O94875
Q9H4B7,Q8WXF1,P68363
P25705,P09874,Q16891
P29590,Q14676,Q02880
Q9NRR4,Q9NZC7,P11940
Q5TCZ1,Q9ULJ3,P55196
O15350,P04637,P01106
Q6P2Q9,Q01804,Q9BRS2
Q9ULH0,O00461,P00403
Q99996,Q13769,P55265
Q6P2Q9,P08621,Q92841
Q9HC62,P63279,Q9UER7
Q68DK2,Q9Y2D8,Q9UBB9
O43303,O60308,Q15154
P62277,Q2NL82,P62249
Q16665,Q92831,Q96ST3
P98160,O00555,P28799
P46531,Q09028,P06400
P26641,P06748,Q14315
P43243,Q92841,Q01484
P01106,Q92499,P63279
O75533,P26368,P62995
P04637,P18146,P19544
Q6P2Q9,Q8WXA9,O60812
Q9Y297,P01106,Q8N3Y1
Q14692,Q9BSC4,O00566
Q6P2Q9,Q9H307,Q8WXA9
P35251,Q9UQ35,O75533
Q13616,O75530,P32969
Q09472,Q13045,P78527
P21333,P04637,Q06609
P60411,P23769,Q6UY14
Q15717,P51608,Q8N5C6
Q6P2Q9,Q14204,Q8WXF1
P19320,P25705,P11940
P26358,P09874,Q9UER7
Q6P2Q9,Q9Y2L1,P05120
Q96GD4,P62249,P00403
Q6P2H3,Q8N0Z3,Q9HC77
Q8IYB3,P26368,Q08170
P26368,Q8WXF1,Q01081
P04637,Q09472,P42771
O75530,P49711,Q96ST3
P26641,P35251,P11940
Q92817,O60437,Q9NRR4
Q4AC94,Q9UPS8,Q15154
P27986,Q05397,P04626
Q6P4F7,O15049,O60292
Q14683,Q9UQE7,Q6KC79
O43166,Q9P2M7,Q6Y7W6
Q92900,Q5SW79,Q96LB3
Q15459,P61978,Q9UH17
O75376,Q68CP9,P51531
P43243,P61978,Q9NZC7
O43790,Q5VST9,P19012
Q6P4F7,Q14573,Q9UHB6
Q00839,Q9UQ35,Q92499
P26641,Q14315,Q13618
P61927,P62280,Q8WXF1
Q9H0W5,P60842,P11940
P35251,O43143,P38159
Q9UBS0,P68363,Q16543
Q13618,Q15717,Q9Y383
Q96KQ4,Q68D86,Q8TBB1
O15061,P22681,P27986
Q09472,Q14683,P01106
P00519,Q13191,P29353
P46934,P60484,P09619
Q13616,P61077,Q9UMS4
P27986,P12318,P29353
Q5SW79,O43303,O95271
Q15717,Q8WXF1,O43684
Q03164,Q8TEK3,O15047
P67870,P30622,Q9UPS8
P26371,Q9BYR5,Q8TBB1
Q5TCZ1,Q9UHB6,O95425
Q8TBE0,P60369,Q63HR2
Q2KHM9,Q8WXW3,Q9UPS8
Q00839,O00425,Q92499
P11274,Q16665,P01106
Q6P2Q9,Q9Y383,Q16543
P51668,Q9Y297,Q09472
Q14692,Q16666,Q9Y4C8
Q8WXA9,P61978,P38159
Q16666,Q8WXF1,P26368
P61978,Q15717,P52597
Q17R98,Q8WXI9,Q14839
O00425,Q9H0W5,Q9UQ80
