Q9ULV4,P04637,O75147
P29083,P21675,Q01844
Q15208,P61326,P38919
P51532,P04637,P84022
Q01082,P61326,Q9UBU9
Q8WVC0,P62380,P21675
Q99459,Q9UMS4,Q9BYV6
Q9UBU9,Q86VM9,P38159
Q07955,Q7Z6Z7,P26368
Q15139,P04637,P08069
Q06124,P51692,P10721
P26368,Q96AE4,O75147
P08238,O75147,Q9UBU9
P08238,Q15303,P04637
Q5VST9,P21675,Q9UBU9
P15880,O75147,P68104
P21333,P84022,P16144
P21359,Q9P2M7,Q8TEH3
Q5S007,P15880,P08238
P04637,P21333,P61221
P68366,P32121,P68104
O14980,P00533,Q70E73
P08603,Q09472,P11473
Q5S007,Q13546,P63261
O60907,Q14202,Q13227
O14979,O00571,Q01484
P26368,P38919,P38159
Q99459,Q8N3U4,Q9UQE7
Q53GS9,P18583,O75533
Q99459,O75147,Q15149
O14980,P01116,Q9UBU9
P16403,P38919,P61221
P26368,Q7Z6Z7,Q92598
P61326,Q9UKV3,P38919
P00533,P01111,P52306
O95232,Q9UMS4,Q86UA1
Q99459,Q7Z6Z7,Q5UIP0
P28482,P84022,P11473
P62805,Q14676,P10412
P23467,P00533,P28482
P26368,P18583,P38919
P05067,P41587,O43264
P04637,P00533,Q03701
P26368,Q7Z6Z7,Q9UKV3
Q14676,O75147,Q14151
Q13976,P15880,P68104
O14980,P62266,Q7Z6Z7
P63244,Q7Z6Z7,P06400
Q13627,P20248,Q92793
O14979,P26368,O75147
P21333,O14920,P63261
O14980,P15880,Q9BRS2
Q12905,P62277,O00567
Q6MZP7,P20248,P06400
P15880,P08238,P00533
P25391,P00747,P00750
P00533,P02751,Q01844
Q99459,Q96LT9,Q9UMS4
Q7Z434,O00571,Q13077
Q07955,Q99459,O75147
O14980,P41229,Q9UBU9
Q8IYB3,P26368,P68104
Q13315,P00533,P42345
P21333,Q14126,O75147
P51617,P21580,Q9UBU9
Q01484,Q9BQ67,Q01844
P78395,Q16777,Q16778
Q86U86,Q16778,Q16777
Q86VM9,O60885,Q99459
P02458,P25067,P02751
P08238,Q9UM73,O60674
Q7Z6Z7,Q5T4S7,Q9UPY3
Q09472,P04637,P42771
O14980,Q13009,Q8TEH3
P38159,P61326,O75533
Q09666,O75147,P68104
Q99459,P18583,P38919
Q5S007,P62266,P60866
Q86VI1,Q96A65,Q9Y2D4
O43809,Q99459,Q01484
P04637,Q7Z6Z7,P61221
P51532,Q14676,Q9BZ95
P25963,P42345,O14920
P08238,Q9UBS0,P07948
O75161,Q9H8V3,O15259
P05067,P84022,Q96S59
P53420,P02751,P98095
O14980,P08238,P02751
P46100,P62805,Q96L73
Q07955,O75147,O75533
P61221,P10586,P28482
O43809,O75147,Q9BWF3
P61326,P18583,Q9UKV3
O75528,P62380,Q5H9L4
Q99459,Q7Z6Z7,Q14244
Q9Y2U8,Q9NRK6,Q02297
P61326,Q99459,Q9UMS4
Q7Z6Z7,P42771,O00311
O75955,P21333,P61221
P00747,Q09472,P84022
O14980,Q96N67,Q7Z6Z7
P62266,P15880,P02751
O14980,Q93008,Q16526
Q86U86,O00571,Q13347
P00533,P10586,P28482
Q92785,O14497,P51531
P62266,P62277,Q01484
P35908,Q15051,P04264
Q99459,P26368,O75533
P19174,Q92835,P68104
Q15139,P00533,P08069
Q9UJF2,Q13009,Q8TEH3
Q9ULV4,P21333,P61221
P19174,Q92835,P10721
Q8IYB3,P38919,Q9UBU9
Q92750,P21675,Q5H9L4
