P21359,P01112,Q13009
P06748,P21333,Q9BQE3
P22681,Q13191,P36888
Q01196,Q09472,Q99081
P21359,P01112,Q07889
P29353,P08581,Q05209
Q00839,P06748,P29353
Q00839,Q01484,Q9BQE3
P06748,Q09472,P42771
P35568,P11274,P22681
P11274,P10721,P29353
P04637,P42771,Q9BQE3
Q13191,P08581,Q06124
Q00839,P05141,Q01484
P22681,P08581,P51451
Q00839,Q06124,P29353
Q06124,P51692,P10721
Q00839,P06748,Q09472
O60307,Q13009,Q96QZ7
P49715,P23769,Q09472
P35568,P07332,O60674
P00519,P29353,Q05209
P00519,P10721,Q05209
Q15459,Q01081,O75533
Q8WZ42,P06748,P21333
P22681,P36888,Q06124
P48643,P04637,Q9BQE3
Q09028,P04637,Q01484
P04637,Q09472,O43524
Q99814,P04637,P06748
Q00839,Q09472,Q12906
Q00839,P06748,Q01484
P26358,Q09028,Q15910
Q13315,Q9BXW9,O43524
P21359,Q13009,Q96QZ7
Q09028,P04637,P06748
P11274,P07332,P10721
P04637,P21333,Q9BQE3
Q96QZ7,P21359,Q6Y7W6
P22681,P51692,P10721
P22681,P23467,P08581
P26358,P04637,O94776
P11274,P00519,P29353
Q99814,P06748,Q09472
P00519,Q13191,P51451
P46531,Q8IZL2,Q09472
P07332,P51451,P10721
Q13191,P36888,Q06124
P51668,P04637,P46939
P07332,P10721,O60674
Q09028,P04637,O94776
P51668,P04637,Q09472
P22681,P08581,Q07889
P00519,P10721,P29353
P35568,Q13191,P29353
P22681,Q13191,P29353
O60674,Q06124,Q99062
P04637,P06748,P21333
P35568,P11274,P07332
Q99814,P04637,Q09472
O60307,Q13009,Q6Y7W6
P35568,Q13191,Q06124
P22681,Q13191,Q06124
Q13191,P08581,P29353
Q00839,P06748,Q9P275
P29353,Q07889,P07333
P11274,P04637,P19447
Q00839,P06748,P42771
P35568,P22681,P29353
P22681,P00519,Q13191
P04637,Q09472,P42771
P35568,Q06124,O60674
P22681,P08581,Q06124
Q8IWS0,P06748,Q9BQE3
P21359,Q13009,Q6Y7W6
P22681,P07333,P29353
P05141,P04637,P06748
P04637,P06748,Q9BQE3
P08581,Q07889,Q06124
P40238,Q06124,P29353
Q06124,P10721,P29353
Q09028,P06748,Q8IWS0
P35568,P29353,O60674
P22681,P08581,P29353
P00519,Q13191,P29353
P46531,Q01196,Q99081
P29353,P06748,Q9BQE3
Q06124,Q07889,P29353
P00519,P04637,P48643
Q00839,P04637,P42771
P00519,Q09472,Q12906
P26358,Q09028,P04637
P22681,Q06124,P10721
P29353,P10721,O60674
P05141,P04637,Q9BQE3
P11274,Q06124,P10721
Q13315,P04637,O43524
P22681,P11274,Q07889
P11274,P00519,P51451
O60674,P29353,Q99062
P35568,Q13191,P22681
Q15696,Q01081,O75533
Q15696,Q15459,O75533
P00519,Q13315,P04637
Q00839,Q9BQE3,P29353
P22681,P11274,P10721
P46531,Q09472,Q01196
Q00839,Q8IWS0,P06748
Q00839,P27797,Q01484
Q00839,Q12906,Q01484
P22681,P01112,Q07889
P11274,Q07889,P29353
P00519,P29353,O60674
P00519,P10721,O60674
P22681,Q13191,P08581
P22681,Q13191,P51451
P22681,Q06124,P51692
P22681,Q07889,P29353
Q15696,Q15459,Q01081
P00519,P04637,P21333
P05141,P06748,Q9BQE3
P51692,P10721,O60674
P29353,P51692,O60674
P04637,Q01484,Q14151
P35568,P22681,Q06124
P11274,P51451,P10721
P04637,P46939,Q9BQE3
Q01196,Q09472,P56545
Q06124,P40238,O60674
P08581,Q06124,P29353
Q06124,P10721,O60674
P08581,P51451,P07332
P05141,Q01484,Q9BQE3
P51692,P10721,P29353
P22681,P11274,P00519
P04637,Q01484,Q9BQE3
O60674,P10721,Q05209
P22681,Q13191,P10721
P22681,Q07889,P07333
P51668,P04637,Q9NR09
P05141,P04637,Q01484
Q00839,Q8IWS0,Q9BQE3
Q00839,P42771,Q9BQE3
Q06124,P51692,P29353
P46531,Q09472,Q99081
Q00839,P05141,P04637
P04637,P06748,Q09472
P22681,P11274,P51451
P11274,P00519,Q07889
Q00839,P04637,Q9BQE3
P35568,P06748,P29353
P11274,P07332,P51451
P11274,P00519,P04637
P11274,P07332,O60674
P22681,P00519,Q07889
Q00839,P05141,Q9BQE3
Q12906,Q15910,O75533
P11274,P35568,O60674
P52948,P06748,Q09472
Q6Y7W6,O60307,Q96QZ7
Q00839,Q15459,Q01081
Q13191,P10721,P29353
P11274,Q06124,Q07889
P22681,P00519,P10721
